[Wed Apr 10 17:43:04.076846 2019] [php7:warn] [pid 26002] [client 127.0.0.1:40332] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae00f8068da.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:47:24.519526 2019] [php7:warn] [pid 25861] [client 127.0.0.1:41940] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae01fc6686f.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:48:30.223447 2019] [php7:warn] [pid 8871] [client 127.0.0.1:42322] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae023e19788.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:49:18.051252 2019] [php7:warn] [pid 25870] [client 127.0.0.1:42620] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae026c855d9.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:50:43.633688 2019] [php7:warn] [pid 11782] [client 127.0.0.1:43144] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae02c2280d3.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:52:45.131374 2019] [php7:warn] [pid 8871] [client 127.0.0.1:43880] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae033c07607.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 17:55:44.229898 2019] [php7:warn] [pid 11782] [client 127.0.0.1:44992] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae03ef7500a.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/signup
[Wed Apr 10 18:02:14.401787 2019] [php7:warn] [pid 1046] [client 127.0.0.1:47362] PHP Warning:  file_put_contents(/var/www/yii2_social_club/runtime/debug/5cae057657a7c.data): failed to open stream: Permission denied in /var/www/yii2_social_club/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 68, referer: http://yii2socialclub.loc/login
[Wed Apr 10 21:46:32.408753 2019] [php7:warn] [pid 1194] [client 127.0.0.1:52482] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8, referer: http://yii2socialclub.loc/site/contact
[Wed Apr 10 21:46:32.447007 2019] [php7:error] [pid 1194] [client 127.0.0.1:52482] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8, referer: http://yii2socialclub.loc/site/contact
[Wed Apr 10 21:46:35.272515 2019] [php7:warn] [pid 3000] [client 127.0.0.1:52486] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:46:35.272603 2019] [php7:error] [pid 3000] [client 127.0.0.1:52486] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:46:42.495485 2019] [php7:warn] [pid 2833] [client 127.0.0.1:52488] PHP Warning:  require(/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php): failed to open stream: No such file or directory in /var/www/yii2_social_club/web/index.php on line 8
[Wed Apr 10 21:46:42.495549 2019] [php7:error] [pid 2833] [client 127.0.0.1:52488] PHP Fatal error:  require(): Failed opening required '/var/www/yii2_social_club/web/../vendor/yiisoft/yii2/Yii.php' (include_path='.:/usr/share/php') in /var/www/yii2_social_club/web/index.php on line 8
